name	url	region	city	address
Inferno Martial Arts Siloam Springs	https://myinfernofitness.com/	AR	Siloam Springs	
Inferno Martial Arts Springdale	https://myinfernofitness.com	AR	Springdale	5320 W Sunset Ave
Infinite Jiu-Jitsu Phoenix	https://www.infinitearizona.com/	AZ	Phoenix	4220 W Opportunity Way Ste 103
Infinite MMA Academy	https://infinitemixedmartialarts.perfectmind.com/SocialSite/about-us	CO	Loveland	154 E 15th St
Infinitum Jiu Jitsu Academy - PSBJJ Lake Conroe	https://infinitumjiujitsuconroe.com/contact	TX	Conroe	2064 N Farm to Market 3083 Rd W C
Infinity Arts	https://www.facebook.com/InfinityArtsMartialArts/	OH	Cambridge	61573 Moores Ln
Infinity BJJ Utah	https://infinitybjjutah.com	UT	Mapleton	1885 W Alvey Dr Unit 3
Infinity Gracie Brazilian Jiu Jitsu	https://www.gracieuppervalley.com	NH	Lebanon	45 Hanover St. Penthouse STE, Lebanon, NH 03766
Infinity Martial Arts of Bolivar	https://infinity-martial-arts-of-bolivar.business.site/	MO	Bolivar	830 E San Martin St
Inner Game Jiu-Jitsu	https://www.innergamebjj.com	LA	Ville Platte	1233 West LaSalle Street
Innovative Martial Arts & Fitness	https://winnipegmartialarts.ca	MB	Winnipeg	15-1599 Dugald Rd, Winnipeg, MB
Insight BJJ Somerset KY	https://www.insightbjj-ky.com/	KY	Somerset	4360 S Hwy 27 Suite B
Inspire Brazilian Jiu Jitsu Academy	https://www.inspirebjj.com	CO	Fort Collins	4103 S Mason St Unit 201
Institut Impact Élite Martial	https://institutimpactelitemartial.com	QC	Val-d'Or	1218 7e Rue, Val-d'Or, QC J9P 5S7
Institute of Combat	https://www.instituteofcombat.com/	CA	Arcata	
Insurgent Fitness	https://insurgent.fitness/	AZ	Flagstaff	
Integrity Martial Arts	https://www.integritymartialarts.ca	NS	Sydney	
Integrity Martial Arts Moore	https://integrityma.ninja	OK	Moore	1991 Tower Dr Suite E
International Training Center of New York	https://itcnewyork.com/	NY	Long Island City	
Inverted Gear Academy	https://invertedgearacademy.com/	PA	Bethlehem	1114 W Broad St
Invictus Brazilian Jiu Jitsu and Muay Thai Academy	https://www.invictusmartialarts.com	NM	Albuquerque	1453 Wyoming Blvd NE, Albuquerque, NM 87112
Iowa City BJJ	https://iowacitybjj.com	IA	Iowa City	
Iowa Top Team Boxing & Jiu-Jitsu	https://www.iowatopteam.com	IA	Clinton	123 Main Ave, Clinton, IA 52732
Iron & Soul	https://ironsouljiujitsu.com/	OH	Clyde	1710 W McPherson Hwy
Iron Academy Martial Arts	https://ironacademymartialarts.com	MN	Hibbing	2225 1st Ave, Hibbing, MN 55746
Iron Fist Gym	https://www.facebook.com/pages/Iron-Fist-Gym/197039466976181	KY	Maysville	1010 Forest Ave
Iron Forge Fight and Fitness	https://ironforge.ca	BC	Fort St. John	Skyway Plaza, 8221 100 Ave, Fort St. John, BC V1J 1W7
Iron Forge Jiu Jitsu	https://www.facebook.com/IronForgeJiuJitsu/	GA	Blackshear	3412 US Highway 84
Iron Image Barbell Club	https://www.ironimage.ca	MB	Selkirk	511 Robinson Ave, Selkirk, MB R1A 1E5
Iron Roots Brazilian Jiu Jitsu	https://ironrootsbjj.com	CO	Colorado Springs	
Iron Sharpens Iron Brazilian Jiu Jitsu Academy	https://www.winchesterbjj.com/	VA	Winchester	
Iron Wolf Academy	https://www.ironwolfacademy.org/	GA	Braselton	1247 Tuscany Dr Suite D
Ironbound Fight Club	https://www.instagram.com/ifcnewarknj_2/	NJ	Newark	165 Vanderpool St. 2nd Floor
Irongrip Jiu Jitsu	https://irongripjiujitsu.com/	NC	Raleigh	731 W Hargett St
Ironside Martial Arts	https://doublefivemidcities.com/	TX	Bedford	1805 Airport Fwy
Ironside Martial Arts St. Albert	https://ironsidemartialarts.ca	AB	St. Albert	135 - 44 Riel Drive, St. Albert, AB T8N 3Z8
Isanti Grappling Club	https://isantigrapplingclub.com	MN	Isanti	101 Isanti Parkway NW Suites C, D and E, Isanti, MN 55040
Island Jiu Jitsu West	https://www.islandjiujitsuwest.com	HI	Ewa Beach	91-902 Fort Weaver Road, Ewa Beach, HI 96706
Island Jiu-Jitsu	https://www.islandjiujitsu.com	HI	Honolulu	760 Halekauwila Street, Honolulu, HI 96813
Island MMA Training Centre	https://islandmma.com	BC	Victoria	831 Fisgard Street, Victoria, BC
Isshindo Martial Arts	https://isshindomartialarts.com	BC	Surrey	16793 60 Ave #202, Surrey, BC V3S 1S8
Ithaca BJJ	https://www.ithacabjjschool.com/	NY	Ithaca	
J-Crew Jiu-Jitsu	https://jcrewbjj.com	UT	Hyrum	120 N 800 E Bldg B Unit 4
JM Modern Jiu Jitsu	https://www.jmmodernjj.com	LA	Baton Rouge	
JREAM Academy	https://www.jreamacademy.com	NV	Carson City	2009 N Carson St
JT6 Academy	https://jt6.ca	ON	Toronto	28 Industrial Street Unit 218
JVLO Jiu-Jitsu	https://www.instagram.com/jvlojiujitsu/	AZ	Douglas	
JW Brazilian Jiu-Jitsu	https://jwbrazilianjiujitsu.wixsite.com/website	OH	Ravenna	4948 S Prospect St
Jabs Gym Eastern Market	https://www.mindbodyonline.com/explore/locations/jabs-gym-eastern-market	MI	Detroit	2501 Russell St
Jacaré Brazilian Jiu-Jitsu	https://jacaremartialarts.com/	FL	Ocoee	1681 Amazing Way, Suite 108
Jackson Academy Martial Art Fitness	https://www.jackson-academy.com/	OK	Stillwater	1401 S Western Rd
Jackson Hole MMA	https://jacksonholemma.com	WY	Jackson	3580 South Park Dr, Jackson WY 83001
Jacksonville Gracie Jiu-Jitsu	https://jacksonville-gracie-jiu-jitsu.business.site/	FL	Jacksonville	9759 San Jose Blvd Suite # 3
Jake MacKenzie School of Jiu Jitsu	https://jakemackenziebjj.com	NS	Halifax	
James Shook Brazilian Jiu-Jitsu	https://tier1jiujitsu.com/	GA	Acworth	1720 Mars Hill Rd
Japanese Martial Arts Academy	https://samuraidetroit.com/free-lesson	MI	Westland	2300 S Venoy Rd
Jason Foley Martial Arts	https://www.jasonfoleyma.com	NL	Conception Bay South	
Javier Blanchard Brazilian Jiu Jitsu / BJJ Anaheim CA 92801	https://www.facebook.com/javierblanchardbrazilianjiujitsu/	CA	Anaheim	
Javier Vazquez Jiu Jitsu Rancho / BJJ Rancho Cucamonga CA 91730	https://www.jiujitsuranchocucamonga.com/	CA	Rancho Cucamonga	9816 Crescent Center Dr # 701
Jay Pages Jiu-Jitsu & MMA	https://jaypagesjjmma.com/	AZ	Tempe	
Jean Jacques Machado Fresno	https://jjmachadofresno.com/	CA	Fresno	6701 N Milburn Ste 160
Jefferson City Judo Club & Jujitsu	https://jeffersoncityjudoclub.com/	MO	Jefferson City	1301 Creek Trail Dr
Jesse Jacquez Brazilian Jiu-Jitsu Santa Fe	https://jessejacquezbjj.com	NM	Santa Fe	2235 Henry Lynch Road, Santa Fe, NM 87507
Jesse Jacquez Brazilian Jiu-Jitsu Taos	https://jessejacquezbjj.com	NM	Taos	216 Paseo Del Canon, Taos, NM 87571
Jinsendo Martial Arts	https://www.jinsendo.com/	GA	Smyrna	1600 Roswell St NE Suite 1
Jit Pit Academy	https://jitpit.com/	CO	Parker	17858 Cottonwood Dr
Jiu Jitsu & Muay Thai - Carlson Gracie Tucson	https://carlsongracietucson.com/	AZ	Tucson	
Jiu Jitsu Tech Mix martial arts and fitness	https://www.jiujitsutech.com/	TX	Corinth	7650 I-35 E South suite 134
Jiu Livre NYC	https://jiulivre.com/	NY	New York	
Jiu-Jitsu 100 Academy	https://jiujitsu100.com	ID	Hailey	111 S Main St, Hailey, ID 83333
Jiu-Jitsu For Life Airdrie	https://jiujitsuforlifeairdrie.com	AB	Airdrie	46 Baysprings Way, Airdrie, AB T4B 4C4
Jiu-Jitsu Methods	https://jiujitsumethodslv.com/	NV	Las Vegas	8645 S Rainbow Blvd
Jiu-Jitsu Saguenay	https://bjjsaguenay.com	QC	Saguenay	2367 Rue Mathias, Jonquière, QC G7S 3V4
Jiu-Jitsu Unlimited	https://jjxkbultd.com	IA	Sioux City	6009 Gordon Dr, Sioux City, IA 51106
Jiujitsu Culture	https://jiujitsuculture.ca	ON	Ottawa	2-397b Richmond Road
Jkd NYC	https://jkdnyc.com	NY	New York	W 46th ST 6th ave 2nd Floor
Jobu Shin Kan	https://jobushinkan.weebly.com/instructor.html	CA	Eureka	
John Machado Brazilian Jiu-Jitsu	https://johnmachadobjj.com/	TX	Allen	111 Central Expy S #116
Joint Lock BJJ - Brazilian Jiu Jitsu	https://www.facebook.com/jointlockbjj	OR	Redmond	1998 SW Canal Blvd
Jon Calestine BJJ	https://calestinejj.com/	NY	New York	
Jonesboro Grappling Association	https://jonesborograpplingassociation.com/	AR	Jonesboro	
Joplin BJJ	https://joplinbjj.com	MO	Joplin	
Jorge Gurgel Martial Arts Center West Chester	https://jgmma.com/	OH	West Chester	6875 Fountains Blvd Suite K
Joslin's MMA	https://joslinsmma.com	ON	Hamilton	436 Concession St
Julio Juarez Brazilian Jiu-Jitsu	https://www.jjbjjsc.com/	CA	Valencia	27734 Avenue Scott # 100
Junction Academy	https://www.junctionacademy.ca	ON	Toronto	
Jungle Gym Martial Arts	https://junglegymnewroc.com/	NY	New Rochelle	
Junglefowl Brazilian Jiu Jitsu	https://junglefowlbjj.ca	NB	Sackville	
Just Train	https://justtrainri.com	RI	North Kingstown	3520 Quaker Ln, North Kingstown, RI 02852
K Jutsu Do Fights System	https://k-jutsu-do-fights-system.negocio.site	NV	North Las Vegas	3100 E Lake Mead Blvd
K-Team Martial Arts	https://k-team-martial-arts.com	HI	Kaneohe	46-012 Alaloa Street 3rd Warehouse Unit, Kaneohe, HI 96744
KC Jones Martial Arts	https://www.kcjonesmartialarts.com	MS	Long Beach	
KENSEI MMA	https://www.kensei.ca/	AB	Red Deer	4768 Riverside Dr Unit 2, Red Deer, AB T4P 1M6
Kaboom Brazilian Jiu-Jitsu	https://kaboombjj.com	BC	Surrey	8556 120 St #111, Surrey, BC V3W 3N5
Kaiser Jiu Jitsu	https://www.kaiserjiujitsu.com	BC	Victoria	5-770 Bay Street, Victoria, BC V8T 5E4
Kaiten Mixed Martial Arts Academy	https://princegeorgemma.com	BC	Prince George	185 Dominion Street, Prince George, BC
Kaizen MMA Ashburn	https://kzmma.com/	VA	Ashburn	21770 Beaumeade Circle, Ste 125
Kaizen Martial Arts and Health Club	https://kaizenjhc.ca	BC	Richmond	12800 Bathgate Way #9, Richmond, BC V6V 1Z4
Kajan Johnson MMA	https://kajanjohnsonmma.com	BC	Burnaby	7759 Edmonds St, Burnaby, BC V3N 1B8
Kame House MMA	https://www.facebook.com/KameHouseMMA/	AL	Hazel Green	13669 US-231 431 N #2
Kamikaze Punishment Foundation	https://www.kpfit.ca	AB	Edmonton	12034 Fort Rd NW, Edmonton, AB T5B 4H1
Kansept Academy	https://kanseptacademy.com	HI	Honolulu	904 Kohou St Suite 201, Honolulu, HI 96817
Karma Jiu Jitsu	https://karmajiujitsu.com	ON	Ajax	487 Westney Rd Unit 4
Kassebaum's Martial Arts	https://nebraskakma.com	NE	Bellevue	2111 Harvell Dr, Bellevue, NE 68005
Katharo Training Center - Jiu-Jitsu and Fitness	https://katharotrainingcenter.com	CO	Littleton	10146 W San Juan Way #100
Kato Jiujitsu	https://katojiujitsu.com	MN	Mankato	410 Park Lane, Mankato, Minnesota 56001, United States
Kawartha Combat	https://kawarthacombat.com	ON	Peterborough	910 High St Unit 15
Kazoku BJJ	https://kazokubjj.ca/	AB	Edmonton	4359 68 Ave NW, Edmonton, AB T6B 2N2
Kearney Combat Sports and Fitness	https://kearneycombatsports.com	NE	Kearney	2219 Central Ave, Kearney, NE 68847
Kenny Kim BJJ	https://kennykimbjj.com/	GA	Marietta	800 Whitlock Ave
Kevin Watson Brazilian Jiu-Jitsu	https://www.kwbjj.com	NH	Dover	1200 Industrial Park Drive, Dover, NH 03820
Kiefer's Martial Arts	https://kiefersmartialarts.com	RI	Westerly	114 Granite Street Suite 3, Westerly, RI 02891
Kilo Delta BJJ and MMA	https://www.kilodeltabjjsc.com	SC	Myrtle Beach	568 George Bishop Pkwy, Myrtle Beach, SC 29579
Kingdom Jiu Jitsu	https://sites.google.com/view/kingdomjiujitsu/home	VT	Hardwick	154 VT Route 15, Hardwick, VT 05843
Kingdom Jiu Jitsu Academy	https://kingdombjj.com	NM	Carlsbad	113 S Canyon St, Carlsbad, NM 88220
Kingman Riot MMA LLC	https://kingmanriotmma.gymdesk.com/	AZ	Kingman	
Kings Combat	https://kingscombatwillyb.com/	NY	Brooklyn	
Kings Combat Fitness	https://kingscombatfitness.com	NY	Rego Park	98-120 Queens Blvd
Kings Jiu Jitsu	https://www.kingsjiujitsucruces.com	NM	Las Cruces	1001 W Picacho Ave, Ste B, Las Cruces, NM 88005
Kingsway Jiu-Jitsu	https://kingswayjiujitsu.com	TX	Austin	
Kioto BJJ Southwest	https://kiotobjjsouthwest.com/	AZ	Chandler	
Kioto Brazilian Jiu Jitsu	https://www.kiotobjj.com/	NY	New York	
Kioto Brazilian Jiu-Jitsu Chattanooga	https://www.kiotobjjchattanooga.com	TN	Chattanooga	
Knots Jiu Jitsu	https://knotsjj.ca	NB	Moncton	
Knoxville Martial Arts Academy	https://knoxmma.com	TN	Knoxville	
Knuckle Up Martial Arts	https://martialartsjacksonvillefl.com/	FL	Jacksonville	11570-8 San Jose Blvd
Kobukai Jujitsu - South Windsor	https://www.ctjujitsu.com/	CT	South Windsor	405 Sullivan Ave
Kobukan Martial Arts Academy	https://kmadojo.org/	VA	Norfolk	9563 Shore Drive
Kombat Arts Training Academy	https://kombatarts.com	ON	Mississauga	
Kombat Brazilian Jiu-Jitsu	https://kombatjits.com/	NJ	Clark	
Kore Brazilian Jiu-Jitsu NWA	https://www.facebook.com/koreBJJNWA/	AR	Lowell	
Kraken Brazilian Jiu-Jitsu & Fitness	https://bjjkraken.com	CO	Colorado Springs	3920 N Academy Blvd
Kraken Jiu Jitsu BJJ & Self-Defense	https://krakenjj.com/	MI	Belmont	2355 Belmont Center Dr NE Suite 105
Kron Gracie Academy	https://www.facebook.com/KRONGRACIEACADEMY	MT	Belgrade	70 Motherlode Ln
Krystek School of Judo, BJJ, Self Defense and Fitness	https://krystekjudo.com	NY	Queens	96-25 Linden Blvd
Kudos	https://www.facebook.com/p/Kudos-Jiujitsu-100063489492758/	OK	Edmond	2000 W Danforth Rd Suite 126
Kurt Pellegrino MMA	https://www.pellegrinomma.com/	NJ	Wall Township	2400 Belmar Blvd
Kutting Edge Jiu-Jitsu Academy	https://www.kuttingedgejiujitsuacademy.com	IA	Burlington	
Kuzushi Fight Club	https://www.saintjeromebjj.com	QC	Saint-Jérôme	1085 rue Melançon, Saint-Jérôme, QC
Kuzushi Grappling	https://kuzushigrappling.com	BC	Vancouver	150 West Hastings St, Floor 2, Vancouver, BC
Kyle Fogel Brazilian Jiu Jitsu	https://sugarhillbjj.com/	GA	Sugar Hill	5009 W Broad St NE
LCCT Brazilian Jiu Jitsu	https://www.lcctbjjusa.com/locations	IL	Schaumburg	
LV Jiu-Jitsu	https://lvbjj.ca	QC	Saint-Mathieu-de-Beloeil	3110 Rue Bernard-Pilon, Saint-Mathieu-de-Beloeil, QC J3G 4S5
Lake Area Brazilian Jiu-Jitsu	https://www.facebook.com/LABJJ/	LA	Lake Charles	1814 E Prien Lake Rd
Lake Area Gracie Jiu-jitsu	https://www.lakeareabjj.com/	MO	Camdenton	942 North Business Highway 5
Lake Effect Martial Arts	https://lakeeffectbjj.com	NY	Depew	2106 George Urban Blvd
Lake Powell Jiu-Jitsu	https://www.lpbjjaz.com/	AZ	Page	
Lakewood Martial Arts	https://peakmartialartsdenver.com/	CO	Lakewood	12860 W Cedar Dr
Lapel Arts	https://www.lapelarts.ca	BC	Vancouver	
Laselva MMA	https://laselvamma.com	KS	Derby	124 S. Baltimore Ave, Derby, KS 67037
Leading Edge MMA	https://leadingedgemma.ca	ON	Thunder Bay	340A Waterloo St N
Legacy Brazilian Jiu Jitsu	https://www.legacy-bjj.com/	TX	Allen	190 E Stacy Rd #1605
Legacy Brazilian Jiu Jitsu Academy	https://www.legacybjjacademy.com	BC	Coquitlam	3-2731 Barnet Highway, Coquitlam, BC
Legacy Fight Club	https://legacyfightclub.com	ON	Barrie	351 King St. Unit 7
Legacy Jiu Jitsu	https://www.legacyjiujitsuak.com/	AK	Anchorage	
Legion AJJ	https://legionsandiego.com	CA	San Diego	7550 Miramar Road; Suite 330
Leonardo Delgado Jiu-Jitsu Academy	https://selfdefensedibervillems.com	MS	Biloxi	15513 Lemoyne Blvd, Biloxi, MS 39532
Les Mauvais Compagnons	https://lesmauvaiscompagnons.com	QC	Granby	231 rue Saint-Charles Sud #4, Granby, QC J2G 9M6
Leverage BJJ NH	https://www.leveragebjjnh.com	NH	Concord	80 South Main St, Unit C, Concord, NH 03301
Leverage Jiu Jitsu Colorado	https://leveragejiujitsuco.com	CO	Louisville	
Leviathan Academy Brazilian Jiu-Jitsu	https://www.leviathanacademy.com	TN	Cleveland	
Lexington Academy of Martial Arts - LAMA	https://www.facebook.com/Lexington-Academy-of-Martial-Arts-LAMA-112562654001820/	KY	Lexington	949 National Ave #180
Lexington Jiu-Jitsu & Fitness	https://lexingtonjiujitsuandfitness.com	KY	Lexington	
Liberdade Brazilian Jiu-Jitsu	https://www.liberdadebjj.com	TN	Nashville	
Life's Ultimate Martial Arts Academy	https://www.lumaacademy.net/	KY	Maysville	293 Martin Luther King Hwy
Limitless BJJ Cincinnati	https://limitlessbjj.com	OH	Cincinnati	
Limitless BJJ Edmonton	https://limitlessbjjedmonton.com	AB	St. Albert	215 Carnegie Dr #2, St. Albert, AB T8N 5B1
Limitless Pride Martial Arts and Fitness Center	https://www.limitlesspridemartialarts.com	NH	East Hampstead	320 Sandown Rd, East Hampstead, NH 03826
Lincoln Brazilian Jiu-Jitsu Center - College View	https://lincolnbjj.com	NE	Lincoln	4707 Prescott Ave, Lincoln, NE 68506
Lincoln Brazilian Jiu-Jitsu Center - Havelock	https://lincolnbjjnorth.com	NE	Lincoln	6317 Havelock Ave, Lincoln, NE 68507
Lincoln Jiu Jitsu Academy	https://lincolnjiujitsuacademy.com/	CA	Lincoln	
Lion Heart Jiu-Jitsu Academy	https://trainbjj.passion.io/	AL	Hoover	
Lions BJJ Kauai	https://kauaibjj.com	HI	Lihue	3205 Fujii Street, Lihue, HI 96766
Lions MMA	https://www.lionsmma.ca	BC	Vancouver	
Living Art Brazilian Jiu Jitsu	https://livingartbjj.com/	IL	Willowbrook	7850 S Quincy St
Livingston Jiu-Jitsu	https://www.facebook.com/livingstonjiujitsu	MT	Livingston	1014 W Park St. Ste. 3
LockDown BJJ	https://lockdownbjj.com	NY	Lake Ronkonkoma	733 Hawkins Ave
Logic Jiu Jitsu	https://logicbjj.com	CA	Sacramento	4415 Freeport Blvd
Lohaki Jiu Jitsu	https://www.lokahijiujitsu.com/	CA	Temecula	27580 Ynez Road; Suite B
Lokahi Jiu-Jitsu Collective	https://www.lokahiomaha.com	NE	Omaha	14535 Industrial Rd, Omaha, NE 68144
Long Beach Jiu Jitsu	https://lbnyjj.com	NY	Long Beach	162 W Park Ave Ste 200
Long Island MMA	https://limixedmartialarts.com/	NY	Lake Grove	
LongShot MMA	https://longshotmma.weebly.com/	CA	Burney	
Lopez Martial Arts	https://lopezjiujitsu.com/	AZ	Chandler	
Lost Boys Jiu-Jitsu & Muay Thai	https://www.lostboysbjj.com/#!location/c2q4	CA	Arcata	
Louisiana Black Belt Academy	https://morgancitymartialarts.com/	LA	Morgan City	6509 LA-182
Louisiana Judo. Louisiana Muay Thai	https://www.louisianajudo.com/	LA	Broussard	222 Burgess Dr
Lovato’s School Of Brazilian Jiu-Jitsu and MMA	okbjj.com	OK	Oklahoma City	10944 N May Ave
Lubbock Jiu Jitsu Academy	https://www.lubbockjiujitsuacademy.com	TX	Lubbock	
Lucas Lepri Brazilian Jiu-Jitsu Knoxville	https://lepribjjknoxville.com	TN	Knoxville	
Lucas Lepri Jiu Jitsu Academy Fort Mill	https://lepribjj.com	SC	Fort Mill	1852 Highway 160, Suite 105, Fort Mill, SC 29708
Lucas Martial Arts	https://www.facebook.com/LucasMartialArts/	OK	Duncan	708 W Main St
Lucero Jiu-Jitsu Academy	https://www.lucerobjj.com/	AZ	Fort Mohave	
Ludus Martial Arts LLC	https://www.ludusmartialarts.com/	FL	Jacksonville Beach	730 Beach Blvd #105
M-Theory Martial Arts	https://mtheorymartialarts.com	MN	St. Louis Park	5700 W 36th St, St Louis Park, MN 55416
M3 Karate	https://m3martialarts.com/what-m3-martial-arts-in-gilbert-offers/#jiujitsu	AZ	Gilbert	
MADE Fitness and Training Center	https://www.madelouisville.com/	KY	Louisville	1200 Truman Park Dr
MAS Academy of Martial Arts	https://masthaiboxing.com	ON	Cambridge	695 Bishop Street North
META BJJ Windsor	https://metabjj.ca	ON	Windsor	956 McDougall St
MKG Martial Arts	https://www.boomboxdet.com/	MI	Ferndale	668 E 9 Mile Rd
MKG Martial Arts Minneapolis	https://www.mnkali.com	MN	Minneapolis	4532 Chicago Avenue, Minneapolis, MN 55407
MN Brazilian Jiu Jitsu Academy	https://mnbjj.ca	ON	Burlington	5230 South Service Rd Unit 301
MONTGOMERY MARTIAL ARTS	https://montgomerymartialartsonline.com/	AL	Montgomery	
MPower Gym LLC	https://www.mpowergymllc.com/	OH	Vandalia	270 N Dixie Dr
MTA Republic	https://www.facebook.com/MTA-RepublicGillespies-Academy-of-Martial-Arts-229743763757836/	MO	Republic	824 E State Hwy 174
MXT BJJ	https://www.mxtbjj.com	NB	Saint John	
MXT BJJ Miramichi	https://mxt-bjj-miramichi.gymdesk.com	NB	Miramichi	1745 Water St, Miramichi, NB E1N 1L9
Mad Tiger Academy	https://www.madtigerbjj.com	HI	Wahiawa	249 Kellogg St, Wahiawa, HI 96786
Magness Brazilian Jiu-Jitsu Martial Arts Academy	https://magnessbjj.com/free-trial/	TX	Cedar Hill	621 Jealouse Way #101
Magnus Mixed Martial Arts	https://magnusmma.com/	AZ	Tucson	
Main Quest BJJ	https://mainquestbjj.com	AB	Calgary	5, 6020 1A Street SW, Calgary, AB T2H 0G3
Manimal Athletics Training Center	https://www.facebook.com/ManimalTraining	NS	Lucasville	495 Lucasville Road, Lucasville
Mano Jiu Jitsu	https://www.manojiujitsu.com	HI	Honolulu	2752 Woodlawn Drive 2nd floor, Honolulu, HI 96822
Maracaba BJJ	https://maracabajiujitsu.com/	AZ	Mesa	
Marangoni BJJ	https://bjjsaltlake.com	UT	Salt Lake City	480 E 6th Ave, Salt Lake City, UT 84103
Marathon Mixed Martial Arts Academy	https://overlandparkmma.com	KS	Overland Park	10559 Metcalf Avenue, Overland Park, KS 66212
Marcellini’s Martial Arts Academy	http://www.mmaa.us/	CA	Moreno Valley	24471 Sunnymead Boulevard
Marcelo Garcia Academy	https://www.marcelogarciajj.com/	NY	New York	
Marcelo Garcia Jiu-Jitsu of Dallas	https://www.marcelogarciadallas.com	TX	Dallas	
Marcio Andre Brazilian Jiu-Jitsu Academy	https://marcioandrejiujitsu.com/	AZ	Phoenix	
Marcio Cruz BJJ	https://marciocruzbjj.com/	FL	Tampa	
Marcus Aurelio Jiu Jitsu Academy	https://aureliobjj.com/	FL	Aventura	2626 NE 188th St
Marcus Soares Brazilian Jiu-Jitsu	https://marcussoares.com	BC	Vancouver	910 Richards St #201, Vancouver, BC V6B 3C1
Marcus Soares Brazilian Jiu-Jitsu Langley	https://marcussoares.com/locations/langley	BC	Langley	Unit 103 - 20691 Langley Bypass, Langley, BC V3A 5E8
Marcus Soares Brazilian Jiu-Jitsu Maple Ridge	https://marcussoares.com/locations/maple-ridge	BC	Maple Ridge	11924 207th Street, Maple Ridge, BC V2X 1X7
Maritime Jiu-Jitsu	https://www.maritimejiujitsu.ca	NS	Halifax	
Mark44 Martial Arts Academy	https://www.mark44mma.com	MN	Mankato	219 S. Victory Dr., Mankato, MN 56001
Markle Brazilian Jiu-Jitsu	https://www.marklebjj.com	TX	Richmond	602 Crabb River Road
Marlon Colorado BJJ NYC	https://www.marloncoloradobjjnyc.com/	NY	Sunnyside	
Marmac Athletics	https://www.facebook.com/marmacathletics	NS	Truro	36 Inglis Place, Truro
Martial Arts Advantage South Tampa	https://martialartsadvantage.com/south-tampa-adult-brazilian-jiu-jitsu-classes-martial-arts-advantage/	FL	Tampa	3311 S Dale Mabry Hwy
Martial Arts Nation Lake Nona BJJ	https://manationlakenona.com	FL	Orlando	6424 Alexandra Louise Dr Suite 160
Martial Arts USA (Fayette Mall Location)	https://www.martialartslexington.com/contact-us	KY	Lexington	260 Meijer Way
Martial Arts and More of Wilmington (Team JBM BJJ)	https://martialartswilmingtonnc.com/	NC	Wilmington	4545 Technology Dr Unit 2
Martial Arts of NC	https://martialartsofnc.com/	NC	Fayetteville	839 Elm St
Martial Way MMA	https://martialwaymma.com/	NJ	Newton	274 Spring St #5
Martial Way Self-Defense Center	https://martialwayvt.com	VT	Colchester	73 Prim Road, Colchester, VT 05446
Martin Academy of Martial Arts	https://airtable.com/shrYsLfI3VocYXFhF	FL	Sarasota	6341 Porter Rd #5
Master Haydar's Black Belt Academy	https://masterhaydar.com/	AZ	Goodyear	
Masters Martial Arts School	https://mastersmartialartsschool.com	HI	Kailua	270 Kuulei Rd Suite 202, Kailua, HI 96734
Matakas Jiu Jitsu	https://www.matakasbjj.com	NJ	Florence	2043 Rt. 130 South
Matrix Martial Arts	https://www.matrixcastlerock.com	CO	Castle Rock	4807 Industrial Way Units 102 & 103
Maui Grappling Academy	https://mauigrapplingacademy.com	HI	Kahului	180 East Wakea Avenue, Unit I, Kahului, HI 96732
Maui Jiu-Jitsu Academy	https://mauijiujitsu.com	HI	Haiku	810 Haiku Rd Unit 230, Haiku, HI 96708
Maui Kombat Academy	https://www.mauikombatacademy.com	HI	Wailuku	1161 Main St, Wailuku, HI 96793
Maverick Training Center	https://mavericktraining.net/	AL	Huntsville	
Maximum Training Centre	https://mtcwindsor.ca	ON	Windsor	1929 Provincial Rd
Maxum BJJ Long Island	https://www.maxumbjj.com	NY	Huntington	
May River BJJ	https://www.mayriverbjj.com	SC	Bluffton	1 Sherington Dr Suite D, Bluffton, SC 29910
McGinnis Academy of Martial Arts	https://www.mcginnisacademyofmartialarts.com/	NC	Gastonia	5106 A Wilkinson Blvd
Megalodon MMA	https://www.megalodongym.com/	GA	Watkinsville	1071 Jamestown Blvd, Unit E-7
Megaton Brazilian Jiu-Jitsu Academy	https://megatonjiujitsu.com/	AZ	Phoenix	
Megaton Gallup Jiu-Jitsu	https://gallupjiujitsu.com	NM	Gallup	804 S 2nd St, Gallup, NM 87301
Meltons Jiujitsu/MMA	https://m.facebook.com/MeltonsJiuJitsuAcademyOhio/	OH	Elyria	419 E Broad St
Memphis Judo & Jiu-Jitsu	https://www.memphisbjj.com	TN	Memphis	
Mendo Training Center	https://www.mendomma.com/mendommacom	CA	Ukiah	
Merced Academy of Jiu Jitsu	https://www.facebook.com/mercedacademyofjiujitsu/	CA	Merced	1725 G St B
Meta Martial Arts	https://meta-ma.com/	AR	Fayetteville	
Method BJJ	https://www.methodbjj.com/	NJ	South Plainfield	
Michael Foley's Academy of Martial Arts	https://michaelfoley.ca	NL	St. John's	
Michigan Top Team	https://michigantopteam.com	MI	Detroit	
Mid America Martial Arts	https://midamericamartialarts.com	NE	Omaha	14951 Chandler Rd, Omaha, NE 68138
Mid City Martial Arts & Fitness Academy	https://www.midcitymma.com	LA	New Orleans	
Middlebury American Jiu Jitsu Academy	https://mbjiujitsu.com	VT	Middlebury	812 Exchange Street, Middlebury, VT 05753
Midland BJJ Texas	https://midlandbjj.com/	TX	Midland	
