verdict	region	name	url	ips	note
OK	GA	Miller Martial Arts (American Top Team Warner Robins)	https://millermartialarts.us	172.67.163.62,104.21.50.132	resolves, not parked
OK	GA	Iron Wolf Academy	https://www.ironwolfacademy.org/	34.149.87.45	resolves, not parked
OK	GA	Buckhead Fight Club	https://www.buckheadfightclub.com/	34.149.87.45	resolves, not parked
OK	GA	Devine Jiu Jitsu - Brunswick	https://www.devinejiujitsu.com/schools/brunswick/	162.241.24.101	resolves, not parked
OK	GA	Straight Blast Gym Buford	https://sbgatlanta.com/locations/sbg-buford/	104.21.81.25,172.67.156.118	resolves, not parked
OK	GA	Underground Martial Arts & Fitness LLC	https://www.ukamartialarts.com/	208.94.107.15	resolves, not parked
OK	GA	Burton Brazilian Jiu Jitsu	https://www.burtonbrazilianjiujitsu.com/	34.149.87.45	resolves, not parked
OK	GA	Ascension Mixed Martial Arts (Cumming)	https://ascensionmma.com/	198.185.159.144,198.185.159.145,198.49.23.144,198.49.23.145	resolves, not parked
OK	GA	GB South Forsyth	https://graciebarra.com/cumming-ga/	172.67.71.239,104.26.9.3,104.26.8.3	resolves, not parked
OK	GA	G1 Martial Arts, Krav Maga, & Brazilian Jiu Jitsu	https://www.g1martialarts.com/	198.202.211.1	resolves, not parked
OK	GA	Tsunami MMA	https://www.tsunamimma.co/	13.248.243.5,76.223.105.230	resolves, not parked
OK	GA	Tect Center	https://middlegamartialarts.com/	198.46.84.81	resolves, not parked
DEAD	GA	GB Ellijay	https://graciebarra.com/ellijay-ga/	172.67.71.239,104.26.9.3,104.26.8.3	location page 404s, domain resolves
OK	GA	Full Throttle Fitness	https://fullthrottlemma.com/contact/	160.153.0.127	resolves, not parked
OK	GA	Gracie Barra Gainesville	https://graciebarra.com/gainesville-ga/	172.67.71.239,104.26.9.3,104.26.8.3	resolves, not parked
OK	GA	Anchor Jiu Jitsu & Fitness	https://anchorjiujitsu.com/	54.175.130.155	resolves, not parked
OK	GA	Ohana Jiu-Jitsu	https://ohanajiu-jitsu.com/	13.248.213.45,76.223.67.189	resolves, not parked
OK	GA	Rolling Panda Brazilian Jiu Jitsu	https://www.rollingpandabjj.com	198.49.23.144,198.185.159.144,198.49.23.145,198.185.159.145	resolves, not parked
OK	GA	SPARTAK Atlanta - Judo, BJJ, and Fitness	https://www.spartakatl.com/	209.126.10.70	resolves, not parked
OK	GA	X3 Sports - North Marietta	https://x3sports.com/sign-up-for-a-free-class/	172.67.215.58,104.21.35.69	resolves, not parked
OK	GA	Southpaw Fitness	https://www.southpawfitness.com/	172.67.206.119,104.21.77.97	resolves, not parked
OK	GA	Rise Up BJJ	https://www.riseupbjj.com/	34.149.87.45	resolves, not parked
OK	GA	American Top Team of Gwinnett	https://attofgwinnett.com/	20.49.104.5	resolves, not parked
OK	GA	GB Lawrenceville	https://graciebarra.com/lawrenceville-ga/	172.67.71.239,104.26.9.3,104.26.8.3	resolves, not parked
OK	GA	Gwinnett Training Academy	https://attofgwinnett.com/	20.49.104.5	resolves, not parked
OK	GA	Kenny Kim BJJ	https://kennykimbjj.com/	76.76.21.21	resolves, not parked
OK	GA	Smith Brazilian Jiu-Jitsu	https://www.smithbjj.com/	34.149.87.45	resolves, not parked
OK	GA	Gracie Jiu-Jitsu Newnan	https://www.gracienewnan.com/	104.21.11.202,172.67.192.156	resolves, not parked
OK	GA	Independent MMA & Fitness of Newnan	https://independentmmafitness-newnan.com/	185.158.133.1	resolves, not parked
OK	GA	Diego Saraiva BJJ - Nova Uniao Atlanta GA	https://saraivabjj.com/	34.174.76.150	resolves, not parked
OK	GA	Nucleus Brazilian Jiu Jitsu	https://nucleusbjj.com	199.34.228.59	resolves, not parked
OK	GA	Scramble Brazilian Jiu Jitsu and Wrestling	https://scramblebrazilianjiujitsuandwrestling.blogspot.com/	172.217.75.132	resolves, not parked
OK	GA	Diego Saraiva BJJ - Roswell/Crabapple GA	https://saraivabjjroswell.com/	34.174.76.150	resolves, not parked
OK	GA	Constant Expansion Jiu Jitsu / MMA	https://www.10psav.com	172.67.151.125,104.21.0.245	resolves, not parked
OK	GA	Gracie Jiu-Jitsu Savannah	https://www.gjjsav.com	172.67.191.63,104.21.33.184	resolves, not parked
OK	GA	Atlanta Budokan	https://gamasd.com/	172.67.140.117,104.21.87.35	resolves, not parked
OK	GA	Jinsendo Martial Arts	https://www.jinsendo.com/	34.149.87.45	resolves, not parked
OK	GA	Hanto Jiu-Jitsu Academy	https://www.hantobjj.com/	198.49.23.145,198.185.159.144,198.185.159.145,198.49.23.144	resolves, not parked
OK	GA	Elite Academy of Martial Arts	https://eliteacademyofmartialarts.com/	50.87.149.90	resolves, not parked
OK	GA	Kyle Fogel Brazilian Jiu Jitsu	https://sugarhillbjj.com/	34.174.76.150	resolves, not parked
OK	GA	Creighton MMA & Fitness Academy	https://paulcreighton.com/	94.247.142.1	resolves, not parked
OK	GA	Independent MMA & Fitness - Villa Rica	https://villarica.independentmmafitness.com/	34.202.63.170	resolves, not parked
OK	GA	Megalodon MMA	https://www.megalodongym.com/	162.159.143.12,172.66.3.8	resolves, not parked
OK	GA	ATL Fitness 24/7 Woodstock	https://www.mindbodyonline.com/explore/locations/tapout-fitness-woodstock	172.64.150.16,104.18.37.240	resolves, not parked
OK	HI	CJJF Central	https://cjjfcentral.com	45.79.19.164	resolves, not parked
OK	HI	O2 Martial Arts Academy	https://onzuka.com/o2maaweb/	162.241.24.161	resolves, not parked
OK	HI	Island Jiu Jitsu West	https://www.islandjiujitsuwest.com	199.34.228.179	resolves, not parked
OK	HI	Maui Jiu-Jitsu Academy	https://mauijiujitsu.com	69.163.163.230	resolves, not parked
OK	HI	UFC GYM Hilo	https://www.ufcgym.com/locations/hilo	66.33.60.129,76.76.21.22	resolves, not parked
OK	HI	Caveirinha Jiu-Jitsu Family Hawaii Kai	https://www.cjjfhawaii.com	198.185.159.144,198.49.23.145,198.49.23.144,198.185.159.145	resolves, not parked
OK	HI	Gracie Allegiance Honolulu	https://honolulubjj.com	172.67.188.52,104.21.64.238	resolves, not parked
OK	HI	Gracie Barra Aloha Stadium	https://graciebarra.com/honolulu-hi	172.67.71.239,104.26.9.3,104.26.8.3	resolves, not parked
OK	HI	HNL Jiu Jitsu Academy	https://www.hnljiujitsuacademy.com	198.49.23.145,198.49.23.144,198.185.159.144,198.185.159.145	resolves, not parked
OK	HI	Island Jiu-Jitsu	https://www.islandjiujitsu.com	108.167.156.41	resolves, not parked
OK	HI	Kansept Academy	https://kanseptacademy.com	151.101.2.159	resolves, not parked
OK	HI	Mano Jiu Jitsu	https://www.manojiujitsu.com	198.185.159.145,198.49.23.144,198.185.159.144,198.49.23.145	resolves, not parked
OK	HI	Relson Gracie Jiu-Jitsu Ronn Shiraki Academy	https://www.ronnshiraki.com	199.34.228.41	resolves, not parked
OK	HI	Relson Gracie Jiu-Jitsu Team HK	https://www.graciehonolulu.com	34.149.87.45	resolves, not parked
OK	HI	Sapateiro Jiu Jitsu Academy	https://www.oahubjj.com	198.185.159.144,198.49.23.145,198.49.23.144,198.185.159.145	resolves, not parked
OK	HI	Technics Jiu-Jitsu Academy	https://www.gracietechnics.com	50.87.233.33	resolves, not parked
OK	HI	Maui Grappling Academy	https://mauigrapplingacademy.com	76.223.105.230,13.248.243.5	resolves, not parked
OK	HI	Gracie Jiu Jitsu Kailua	https://graciejiujitsukailua.com	141.193.213.10,141.193.213.11	resolves, not parked
