verdict	region	name	url	ips	note
OK	QC	Académie Connexion	https://academieconnexion.com	192.95.19.108	resolves, not parked
OK	QC	Arts Martiaux KJS	https://www.artsmartiauxkjs.com	167.114.167.84	resolves, not parked
OK	QC	Kuzushi Fight Club	https://www.saintjeromebjj.com	34.149.87.45	resolves, not parked
OK	QC	LV Jiu-Jitsu	https://lvbjj.ca	100.59.109.75,52.7.135.202	resolves, not parked
OK	QC	Arts Martiaux K2V	https://www.ecolekaratebromont.com	34.149.87.45	resolves, not parked
OK	QC	Académie Athéna	https://www.athenabjj.com	198.185.159.145,198.49.23.144,198.49.23.145,198.185.159.144	resolves, not parked
OK	QC	Académie SGS	https://academiesgs.com	67.215.9.138	resolves, not parked
OK	QC	Nomad Brazilian Jiu-Jitsu	https://nomadbjj.com	70.39.151.244	resolves, not parked
OK	QC	École de kickboxing de l'Estrie	https://estriekickboxing.com	217.15.175.98	resolves, not parked
OK	QC	Terra Atma	https://www.terra-atma.com	34.149.87.45	resolves, not parked
OK	QC	Dojo Fusion	https://dojofusion.ca	50.6.6.5	resolves, not parked
OK	QC	AM3R - Arts Martiaux Trois-Rivières	https://www.am3r.ca	172.253.122.121	resolves, not parked
OK	QC	Centre SAGA	https://www.centresaga.ca	104.21.61.2,172.67.204.79	resolves, not parked
OK	QC	Institut Impact Élite Martial	https://institutimpactelitemartial.com	173.209.43.251	resolves, not parked
OK	RI	Danny Savery BJJ and Martial Arts Academy	https://dannysaverybjj.com	104.21.25.243,172.67.134.238	resolves, not parked
OK	RI	Coventry Brazilian Jiu Jitsu	https://coventryribjj.com	35.215.82.72	resolves, not parked
OK	RI	Ocean State Studios BJJ	https://oceanstatestudiosbjj.com	198.185.159.145,198.49.23.145,198.185.159.144,198.49.23.144	resolves, not parked
OK	RI	Playground Jiu Jitsu	https://playgroundjiujitsu.com	104.21.41.112,172.67.164.114	resolves, not parked
OK	RI	Elevate Dojo	https://www.elevatedojo.com	31.43.161.6,31.43.160.6	resolves, not parked
OK	RI	Pride Martial Arts and Fitness	https://www.pridemartialarts.com	198.49.23.144,198.185.159.144,198.49.23.145,198.185.159.145	resolves, not parked
OK	RI	Mission First Jiu-Jitsu	https://www.missionfirstbjj.com	198.185.159.145,198.49.23.144,198.49.23.145,198.185.159.144	resolves, not parked
OK	RI	Just Train	https://justtrainri.com	35.172.94.1,100.24.208.97	resolves, not parked
OK	RI	Ricardo Cavalcanti Brazilian Jiu-Jitsu - RI	https://rcbjjri.com	192.185.191.182	resolves, not parked
OK	RI	Tri-Force MMA	https://www.triforcemma.com	65.181.116.236	resolves, not parked
OK	RI	Providence BJJ	https://providencebjj.com	104.21.38.141,172.67.223.47	resolves, not parked
DEAD	RI	Tim Burrill Brazilian Jiu Jitsu	https://timburrill.com		NXDOMAIN
OK	RI	Braman Jiu Jitsu	https://www.bramanjiujitsu.com	198.49.23.145,198.185.159.144,198.49.23.144,198.185.159.145	resolves, not parked
OK	RI	Gracie Jiu-Jitsu Warwick	https://www.graciejiujitsuwarwick.com	216.150.16.193,216.150.1.193	resolves, not parked
OK	RI	Rilion Gracie Rhode Island	https://riliongracieri.com	192.0.78.132,192.0.78.229	resolves, not parked
OK	RI	Kiefer's Martial Arts	https://kiefersmartialarts.com	104.21.86.157,172.67.221.185	resolves, not parked
OK	SC	Aiken Jiu-Jitsu	http://www.aikenjiu-jitsu.com	198.49.23.145,198.185.159.145,198.49.23.144,198.185.159.144	resolves, not parked
OK	SC	Alliance Jiu Jitsu Anderson	https://allianceanderson.com	84.32.84.63,88.222.222.34	resolves, not parked
OK	SC	Beaufort MMA	https://www.beaufortmma.com	104.196.31.143	resolves, not parked
OK	SC	May River BJJ	https://www.mayriverbjj.com	198.49.23.144,198.185.159.145,198.185.159.144,198.49.23.145	resolves, not parked
OK	SC	Riptide Mixed Martial Arts Academy	https://riptidemma.com	76.223.105.230,13.248.243.5	parking-range IP but real site
OK	SC	Black Label Martial Arts	https://blacklabelmartialarts.com	104.21.31.108,172.67.176.58	resolves, not parked
OK	SC	Gracie Barra West Ashley	https://www.gbwestashley.com	198.49.23.145,198.185.159.144,198.185.159.145,198.49.23.144	resolves, not parked
OK	SC	Jitsu Academy SC	https://jitsuacademy.com	76.223.105.230,13.248.243.5	parking-range IP but real site
OK	SC	Spartan Academy MMA	https://spartanacademymma.com	172.67.162.178,104.21.89.174	resolves, not parked
OK	SC	Alliance Jiu Jitsu Easley	https://alliancejjeasley.com	107.180.237.70	resolves, not parked
