region	city	name	url	hostname
CT	Waterbury	IMB Academy CT	https://jessymiele.wixsite.com/imbct/	jessymiele.wixsite.com
OK	Duncan	Lucas Martial Arts	https://www.facebook.com/LucasMartialArts/	www.facebook.com
OK	Edmond	Kudos	https://www.facebook.com/p/Kudos-Jiujitsu-100063489492758/	www.facebook.com
OK	Enid	Shah Mat Brazilian Jiu Jitsu	https://www.facebook.com/ShahMatBJJ/	www.facebook.com
OK	Mustang	F-5 Grappling	https://www.facebook.com/f5grappling/	www.facebook.com
OK	Owasso	Clinch Martial Arts Academy - Owasso	https://www.facebook.com/teamclinch/	www.facebook.com
OK	Poteau	Oklahoma Combat Sports / KORE BJJ	https://www.facebook.com/ocskorebjj/	www.facebook.com
OK	Tulsa	Ryan Brazilian Jiu Jitsu	https://www.facebook.com/Ryanbrazilianjiujitsu/	www.facebook.com
OR	Albany	Oregon Triad Jiu-Jitsu	https://www.facebook.com/OregonTriadJiuJitsu/	www.facebook.com
OR	Grants Pass	Wayne Owen Fighting Arts	https://www.facebook.com/Wayne-Owen-Fighting-Arts-174709395877709/	www.facebook.com
OR	Corvallis	10th Planet Corvallis	https://www.facebook.com/10PCorvallis/	www.facebook.com
OR	Portland	Go Hard MMA & Fitness	https://www.facebook.com/Gohardmmafitness/	www.facebook.com
OR	Redmond	Joint Lock BJJ - Brazilian Jiu Jitsu	https://www.facebook.com/jointlockbjj	www.facebook.com
OR	Hubbard	Counter Point Martial Arts	https://www.facebook.com/CPMATKD	www.facebook.com
ND	Minot	Gracie Jiu-jitsu Minot	https://sites.google.com/view/minotgjj	sites.google.com
ND	Valley City	Valley City Jiu-Jitsu and Self Defense Academy	https://jiujitsuvc.wixsite.com/valley-city-jiujitsu	jiujitsuvc.wixsite.com
VT	Hardwick	Kingdom Jiu Jitsu	https://sites.google.com/view/kingdomjiujitsu/home	sites.google.com
NB	Saint John	Team Flow State	https://www.facebook.com/FlowstateJJ	www.facebook.com
NB	Woodstock	B7 Jiu Jitsu	https://www.facebook.com/B7JiuJitsu	www.facebook.com
NS	Antigonish	Woodshop Jiu-Jitsu	https://www.facebook.com/woodshopjits	www.facebook.com
NS	Kingston	True Leverage Alliance BJJ	https://www.instagram.com/tla_bjj	www.instagram.com
NS	Lantz	Bulldog Martial Arts	https://www.facebook.com/groups/206127349417091	www.facebook.com
NS	Lucasville	Manimal Athletics Training Center	https://www.facebook.com/ManimalTraining	www.facebook.com
NS	Middle Sackville	The Tap Room Grappling Group	https://www.facebook.com/p/The-Tap-Room-Grappling-Group-61571256489758	www.facebook.com
NS	Pictou	Shiretown Grappling Club	https://www.instagram.com/shiretownbjj	www.instagram.com
NS	Porters Lake	Porters Lake Brazilian Jiujitsu	https://www.facebook.com/averageday	www.facebook.com
NS	Truro	Marmac Athletics	https://www.facebook.com/marmacathletics	www.facebook.com
PE	Charlottetown	Renzo Gracie PEI Lot 36	https://www.facebook.com/p/Renzo-Gracie-PEI-Lot-36-100069410847003	www.facebook.com
TN	Memphis	Alliance TN	https://www.facebook.com/AllianceTNBJJ	www.facebook.com
TN	Paris	Paris Gracie Jiu Jitsu Academy	https://www.facebook.com/parisgraciejiujitsuacademy	www.facebook.com
WI	Burlington	Evolution Jiu Jitsu Burlington	https://facebook.com/EvolutionBJJ.Burlington	facebook.com
