verdict	region	name	url	ips	note
OK	NY	The Dojo NYC	https://thedojonyc.com/	198.185.159.144,198.49.23.144,198.185.159.145	resolves, not parked
OK	NY	The Grappling Club	https://thegrapplingclubnyc.com	185.230.63.186,185.230.63.107,185.230.63.171	resolves, not parked
OK	NY	Unlimited Martial Arts	https://unlimitedmartialartsacademy.com	162.217.86.164	resolves, not parked
OK	NY	Williamsburg MMA	https://www.williamsburgmma.com	34.149.87.45	resolves, not parked
OK	NY	Zero Gravity Jiu-Jitsu Academy	https://zerogbjj.com	50.87.248.23	resolves, not parked
OK	NY	Buffalo Brazilian Jiu Jitsu Academy	https://www.buffalobjj.com/	54.187.28.78	resolves, not parked
OK	NY	Buffalo United Martial Arts	https://buffalounitedmartialarts.com	162.159.140.166	resolves, not parked
OK	NY	Clobber Jiu Jitsu Academy	https://clobberjiujitsu.com/	185.230.63.186,185.230.63.171,185.230.63.107	resolves, not parked
OK	NY	Lake Effect Martial Arts	https://lakeeffectbjj.com	172.67.218.62,104.21.83.86	resolves, not parked
DEAD	NY	Behring Jiu Jitsu NY	https://behringjiujitsuny.com	3.33.251.168,15.197.225.128	redirects to 404 page, domain resolves
OK	NY	Una Brazilian Jiujitsu	https://www.unabjj.com	104.21.54.19,172.67.222.130	resolves, not parked
OK	NY	Red Dawn Combat Club- Fresh Meadows	https://reddawnbjj.com	35.212.19.204	resolves, not parked
OK	NY	Tiger Schulmann's Martial Arts Garden City NY	https://tsk.com/locations/ny/garden-city	141.193.213.20,141.193.213.21	resolves, not parked
OK	NY	A-Force BJJ Academy	https://www.aforcebjj.com	198.202.211.1	resolves, not parked
OK	NY	Sub Zero Brazilian Jiu Jitsu	https://subzerobjj.com	162.159.134.42	resolves, not parked
OK	NY	Vamos MMA	https://www.vamosmma.com	108.61.87.61	resolves, not parked
OK	NY	Maxum BJJ Long Island	https://www.maxumbjj.com	172.67.201.175,104.21.22.7	resolves, not parked
